sample_id,rgb_relative_path,skeleton_path,person,action,group,camera,low_view_height_cm,low_camera_order,reference_camera,angle_definition,direct_estimated_relative_yaw_deg,estimated_relative_yaw_deg,angle_source,angle_mad_deg,median_fit_rmse_m,candidate_frame_count,usable_frame_count,stable_frame_count,confidence
A001_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A001_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G001_C001.csv,P001,A001,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A001_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A001_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G001_C003.csv,P001,A001,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-8.44,-8.44,pairwise_skeleton_registration,2.66,0.2074,96,96,96,high
A001_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A001_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G001_C005.csv,P001,A001,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,51.62,51.62,pairwise_skeleton_registration,2.69,0.239,96,96,96,high
A001_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A001_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G001_C007.csv,P001,A001,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,50.84,50.84,pairwise_skeleton_registration,4.97,0.3234,96,96,70,medium
A001_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A001_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G002_C001.csv,P001,A001,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A001_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A001_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G002_C003.csv,P001,A001,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,14.62,14.62,pairwise_skeleton_registration,1.85,0.258,60,60,60,medium
A001_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A001_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G002_C005.csv,P001,A001,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,23.63,23.63,pairwise_skeleton_registration,1.83,0.2764,60,60,60,medium
A001_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A001_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A001_P001_G002_C007.csv,P001,A001,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,29.44,29.44,pairwise_skeleton_registration,1.39,0.3029,60,60,60,medium
A002_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A002_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G001_C001.csv,P001,A002,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A002_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A002_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G001_C003.csv,P001,A002,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,4.85,4.85,pairwise_skeleton_registration,1.07,0.0811,98,98,98,high
A002_P001_G001_C005,RGB_P001-P010/P001-P010/P001/A002_P001_G001_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G001_C005.csv,P001,A002,G001,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-67.34,-67.34,pairwise_skeleton_registration,5.32,0.2313,98,98,38,high
A002_P001_G001_C007,RGB_P001-P010/P001-P010/P001/A002_P001_G001_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G001_C007.csv,P001,A002,G001,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-50.29,-50.29,pairwise_skeleton_registration,2.96,0.2388,98,98,75,high
A002_P001_G002_C001,RGB_P001-P010/P001-P010/P001/A002_P001_G002_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G002_C001.csv,P001,A002,G002,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A002_P001_G002_C003,RGB_P001-P010/P001-P010/P001/A002_P001_G002_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G002_C003.csv,P001,A002,G002,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,1.79,1.79,pairwise_skeleton_registration,3.39,0.2057,186,186,171,high
A002_P001_G002_C005,RGB_P001-P010/P001-P010/P001/A002_P001_G002_C005.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G002_C005.csv,P001,A002,G002,C005,70,3,C001,source camera forward-axis yaw relative to C001; C001=0,-30.2,-30.2,pairwise_skeleton_registration,5.37,0.2309,186,186,170,high
A002_P001_G002_C007,RGB_P001-P010/P001-P010/P001/A002_P001_G002_C007.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A002_P001_G002_C007.csv,P001,A002,G002,C007,70,4,C001,source camera forward-axis yaw relative to C001; C001=0,-50.44,-50.44,pairwise_skeleton_registration,6.65,0.1864,186,186,170,high
A003_P001_G001_C001,RGB_P001-P010/P001-P010/P001/A003_P001_G001_C001.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G001_C001.csv,P001,A003,G001,C001,70,1,C001,source camera forward-axis yaw relative to C001; C001=0,0.0,0.0,C001_reference,0.0,0.0,0,0,0,reference
A003_P001_G001_C003,RGB_P001-P010/P001-P010/P001/A003_P001_G001_C003.mp4,/home/youhan/ws/ETRI-Activity3D-Skeleton/Skeleton(P001-P050)/P001-P050/A003_P001_G001_C003.csv,P001,A003,G001,C003,70,2,C001,source camera forward-axis yaw relative to C001; C001=0,-7.88,-7.88,pairwise_skeleton_registration,4.65,0.1985,84,84,84,high
